id_knjige,naslov,avtor,povp_ocena,st_ocen,st_recenzij,leto_izdaje,st_strani,jezik,st_trenutnih_bralcev,zanri
6389704,"In Too Deep (The 39 Clues, #6)",Jude Watson,4.03,45300,873,2009,206,English,393,"Mystery, Adventure, Middle Grade, Fiction, Young Adult, Childrens, Audiobook, Fantasy, Juvenile, Action"
298567,"Revenge of the Witch (The Last Apprentice / Wardstone Chronicles, #1)",Joseph Delaney,4.02,53313,3896,2006,344,English,1288,"Fantasy, Young Adult, Horror, Fiction, Magic, Paranormal, Middle Grade, Witches, Supernatural, Audiobook"
6202318,A Touch of Dead,Charlaine Harris,3.85,49913,2004,2009,208,English,295,"Fantasy, Vampires, Paranormal, Urban Fantasy, Fiction, Romance, Mystery, Short Stories, Paranormal Romance, Supernatural"
1292495,Prince of Thieves,Chuck Hogan,3.98,6292,547,2004,364,English,305,"Fiction, Thriller, Crime, Mystery, Suspense, Mystery Thriller, Action, Contemporary, Audiobook, Media Tie In"
40159,"The King of Attolia (The Queen's Thief, #3)",Megan Whalen Turner,4.38,42754,4114,2006,387,English,825,"Fantasy, Young Adult, Fiction, Adventure, Audiobook, Romance, Young Adult Fantasy, High Fantasy, Historical Fiction, Mythology"
41021501,Small Great Things,Jodi Picoult,4.36,426722,36135,2016,510,English,33197,"Fiction, Book Club, Contemporary, Audiobook, Adult, Adult Fiction, Race, Realistic Fiction, Drama, Literary Fiction"
8196732,Sister,Rosamund Lupton,3.77,55147,5554,2010,358,English,1832,"Mystery, Fiction, Thriller, Book Club, Crime, Mystery Thriller, Suspense, Contemporary, Adult Fiction, Adult"
7728889,"The Diviners (The Diviners, #1)",Libba Bray,3.94,101191,14447,2012,578,English,3435,"Fantasy, Young Adult, Historical Fiction, Paranormal, Mystery, Historical, Horror, Fiction, Audiobook, Supernatural"
10128428,Wonderstruck,Brian Selznick,4.17,59392,7357,2014,640,English,973,"Historical Fiction, Middle Grade, Fiction, Young Adult, Graphic Novels, Childrens, Mystery, Realistic Fiction, Historical, Adventure"
72223,The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl,Timothy Egan,4.06,60458,6418,2005,340,English,6011,"History, Nonfiction, American History, Book Club, Historical, Audiobook, Environment, Nature, Survival, American"
93426,Genghis Khan and the Making of the Modern World,Jack Weatherford,4.06,81538,4357,2004,312,English,6465,"History, Nonfiction, Biography, Asia, Audiobook, Historical, World History, War, China, Biography Memoir"
22163,The Wild Trees: A Story of Passion and Daring,Richard Preston,4.12,8893,1364,2007,294,English,563,"Nonfiction, Nature, Science, Environment, Natural History, Adventure, Biography, Book Club, Travel, History"
862350,"No Humans Involved (Women of the Otherworld, #7)",Kelley Armstrong,4.2,30651,855,2008,621,English,281,"Urban Fantasy, Fantasy, Paranormal, Romance, Paranormal Romance, Supernatural, Fiction, Werewolves, Magic, Ghosts"
169756,Feed,M.T. Anderson,3.55,67217,7875,2004,308,English,1898,"Young Adult, Science Fiction, Dystopia, Fiction, Teen, Audiobook, Fantasy, Romance, School, Science Fiction Fantasy"
22918050,"The Heir (The Selection, #4)",Kiera Cass,3.62,394695,26719,2015,342,English,10356,"Romance, Young Adult, Dystopia, Fantasy, Fiction, Audiobook, Royalty, Science Fiction, Teen, Young Adult Fantasy"
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.85,28421,1345,2006,245,English,342,"Nonfiction, Music, Memoir, Pop Culture, Essays, Humor, Travel, Biography, Cultural, Biography Memoir"
11500552,"Lady of Devices (Magnificent Devices, #1)",Shelley Adina,3.8,8361,924,2011,259,English,636,"Steampunk, Fantasy, Young Adult, Historical Fiction, Fiction, Science Fiction, Historical, Romance, Adventure, Urban Fantasy"
5899779,"Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)",Seth Grahame-Smith,3.32,141555,14010,2009,320,English,4962,"Horror, Fiction, Fantasy, Zombies, Humor, Romance, Classics, Historical Fiction, Paranormal, Retellings"
8197735,Atlas of Remote Islands: Fifty Islands I Have Never Set Foot On and Never Will,Judith Schalansky,4.23,4787,656,2010,144,English,211,"Nonfiction, Travel, History, Geography, Maps, Art, Poetry, Cartography, Nature, German Literature"
33585392,"Dear Ijeawele, or A Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,4.51,87077,10563,2017,63,English,1408,"Nonfiction, Feminism, Essays, Audiobook, Womens, Parenting, Africa, Nigeria, Adult, Social Justice"
53138095,"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,4.45,1928695,161574,2021,757,English,94675,"Fantasy, Romance, Romantasy, Fiction, Fae, Audiobook, Fantasy Romance, New Adult, Enemies To Lovers, Adult"
1389938,"Fury & Light (The Great and Terrible, #4)",Chris Stewart,4.34,3968,366,2007,313,English,24,"Fiction, Lds Fiction, Religion, Lds, Church, Christian Fiction, Fantasy, Christian, Suspense, Adult"
6801582,"Spells (Wings, #2)",Aprilynne Pike,3.97,42488,2075,2010,359,English,447,"Fantasy, Young Adult, Romance, Paranormal, Fairies, Fae, Fiction, Magic, Urban Fantasy, Paranormal Romance"
138811,Moscow 1812: Napoleon's Fatal March,Adam Zamoyski,4.36,2619,231,2005,704,English,267,"History, Nonfiction, Russia, War, Military History, France, European History, Russian History, Military Fiction, 19th Century"
43352954,This Is How You Lose the Time War,Amal El-Mohtar,3.85,313391,62962,2019,209,English,23813,"Science Fiction, Romance, Fiction, Fantasy, LGBT, Queer, Time Travel, Lesbian, Audiobook, Book Club"
28250,The Novice (The Black Magician Trilogy #2),Trudi Canavan,4.08,63721,1925,2004,577,English,856,"Fantasy, Magic, Young Adult, Fiction, High Fantasy, Epic Fantasy, Adventure, Romance, Science Fiction Fantasy, Audiobook"
6065182,The Little Stranger,Sarah Waters,3.57,58572,7538,2009,466,English,2388,"Historical Fiction, Fiction, Horror, Gothic, Mystery, Historical, Paranormal, Ghosts, Book Club, British Literature"
7930335,"Beautiful Redemption (Caster Chronicles, #4)",Kami Garcia,3.91,75538,4574,2012,456,English,1410,"Fantasy, Young Adult, Romance, Paranormal, Fiction, Magic, Supernatural, Witches, Urban Fantasy, Paranormal Romance"
13568619,The Shadowhunter's Codex,Cassandra Clare,3.9,39614,2736,2013,274,English,2020,"Fantasy, Young Adult, Paranormal, Urban Fantasy, Fiction, Vampires, Angels, Young Adult Fantasy, Magic, Werewolves"
5821978,"The Summer I Turned Pretty (Summer, #1)",Jenny Han,3.75,1041750,84857,2009,276,English,61466,"Romance, Young Adult, Contemporary, Summer, Fiction, Audiobook, Summer Reads, Chick Lit, Young Adult Romance, Realistic Fiction"
25898216,Stamped from the Beginning: The Definitive History of Racist Ideas in America,Ibram X. Kendi,4.53,37982,5148,2016,592,English,12003,"Nonfiction, History, Race, Social Justice, Politics, Anti Racist, Audiobook, Sociology, American History, African American"
189080,Baghdad Burning: Girl Blog from Iraq,Riverbend,4.13,1460,124,2005,304,English,52,"Nonfiction, Middle East, Memoir, History, War, Politics, Biography, Islam, Autobiography, Biography Memoir"
155370,Double Identity,Margaret Peterson Haddix,4.01,16914,1554,2007,218,English,300,"Science Fiction, Young Adult, Mystery, Fiction, Middle Grade, Fantasy, Childrens, Realistic Fiction, Teen, Suspense"
207798,"Hattie Big Sky (Hattie, #1)",Kirby Larson,4.02,19381,2418,2006,289,English,342,"Historical Fiction, Young Adult, Fiction, Historical, Middle Grade, Audiobook, Teen, Childrens, Book Club, Coming Of Age"
2168860,"One Foot in the Grave (Night Huntress, #2)",Jeaniene Frost,4.28,107973,4341,2008,357,English,1447,"Vampires, Paranormal, Urban Fantasy, Romance, Paranormal Romance, Fantasy, Adult, Audiobook, Fiction, Supernatural"
16158596,Lexicon,Max Barry,3.91,39832,4866,2013,390,English,1497,"Fiction, Science Fiction, Thriller, Fantasy, Mystery, Audiobook, Book Club, Science Fiction Fantasy, Adult, Dystopia"
16069030,"The Winner's Curse (The Winner's Trilogy, #1)",Marie Rutkoski,3.95,113963,14342,2014,355,English,147,"Young Adult, Dystopia, Young Adult Fantasy, Fiction, High Fantasy, Historical Fiction, Audiobook, Fantasy Romance, Historical, War"
602914,Bone Thief,Thomas O'Callaghan,3.49,581,84,2006,377,English,21,"Thriller, Mystery, Fiction, Crime, Suspense, Detective, Horror, Serial Killer, Adult, Mystery Thriller"
6393631,"Smile (Smile, #1)",Raina Telgemeier,4.23,302343,13361,2010,214,English,7145,"Graphic Novels, Middle Grade, Young Adult, Comics, Realistic Fiction, Fiction, Childrens, Contemporary, Coming Of Age, Humor"
13624688,The Time Keeper,Mitch Albom,3.9,120446,12058,2012,224,English,4235,"Fiction, Fantasy, Book Club, Inspirational, Contemporary, Time Travel, Adult, Adult Fiction, Audiobook, Novels"
61714633,"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,4.17,189304,19605,2023,331,English,22700,"Nonfiction, History, Audiobook, Book Club, Historical, Adventure, True Crime, Mystery, Survival, Crime"
336237,"The Falls (Inspector Rebus, #12)",Ian Rankin,4.04,15176,657,2005,479,English,601,"Mystery, Crime, Fiction, Scotland, Thriller, Mystery Thriller, Detective, Audiobook, Contemporary, Murder Mystery"
285212,"On the Prowl (Alpha & Omega, #0.5)",Patricia Briggs,4.06,29459,1357,2007,341,English,1024,"Urban Fantasy, Fantasy, Paranormal, Romance, Paranormal Romance, Anthologies, Werewolves, Shapeshifters, Short Stories, Fiction"
9918083,"Goliath (Leviathan, #3)",Scott Westerfeld,4.22,33684,2722,2011,543,English,386,"Steampunk, Young Adult, Fantasy, Science Fiction, Historical Fiction, Fiction, Alternate History, Adventure, Historical, Romance"
13136,"2nd Chance (Women's Murder Club, #2)",James Patterson,4.08,122367,3635,2005,400,English,5146,"Mystery, Fiction, Crime, Thriller, Mystery Thriller, Suspense, Audiobook, Murder Mystery, Detective, Adult"
10822858,"The Keeper of Lost Causes (Department Q, #1)",Jussi Adler-Olsen,4.01,89127,6710,2011,400,English,5252,"Mystery, Crime, Thriller, Fiction, Mystery Thriller, Audiobook, Denmark, Nordic Noir, Scandinavian Literature, Detective"
36307634,"King of Scars (King of Scars, #1)",Leigh Bardugo,4.15,227160,28156,2019,511,English,0,"Young Adult, Fiction, Young Adult Fantasy, Fantasy, Romance, Magic, High Fantasy, Audiobook, LGBT, Adventure"
282108,Stalin: The Court of the Red Tsar,Simon Sebag Montefiore,4.14,12746,817,2005,848,English,1414,"History, Biography, Nonfiction, Politics, Russian History, Russia, European History, Biography Memoir, Historical, War"
125925,"Industrial Magic (Women of the Otherworld, #4)",Kelley Armstrong,4.13,37273,1001,2007,560,English,395,"Urban Fantasy, Fantasy, Paranormal, Romance, Paranormal Romance, Witches, Magic, Fiction, Supernatural, Vampires"
248470,"River Secrets (The Books of Bayern, #3)",Shannon Hale,4.05,37222,2703,2006,290,English,308,"Fantasy, Young Adult, Fiction, Romance, Fairy Tales, Adventure, Magic, Middle Grade, Young Adult Fantasy, Teen"
1430,Eleven Minutes,Paulo Coelho,3.72,188187,8933,2003,273,English,6369,"Fiction, Romance, Novels, Contemporary, Philosophy, Literature, Adult, Brazil, Drama, Spirituality"
26014651,Mothering Sunday,Graham Swift,3.69,18018,2250,2016,177,English,843,"Fiction, Historical Fiction, Romance, Literary Fiction, Book Club, British Literature, Historical, Literature, Novella, Novels"
22557520,"After (After, #1)",Anna Todd,3.72,366658,25240,2014,582,English,20229,"Romance, New Adult, Contemporary, Young Adult, Fiction, College, Contemporary Romance, Enemies To Lovers, Audiobook, College Romance"
64081,The Irresistible Revolution: Living as an Ordinary Radical,Shane Claiborne,4.04,24512,1100,2006,368,English,546,"Christian, Nonfiction, Religion, Christianity, Faith, Theology, Spirituality, Christian Living, Social Justice, Memoir"
